,3MDSC
,4M DSC
,4MDSC
,5.0M DigitalCAM
,5M DSC
,6M DSC
,735S POWE
AIPTEK,DV 5000
AIPTEK,DV 5700
AIPTEK,DV 6800
AIPTEK,DV 6800S
AIPTEK,DV 8800
AIPTEK,DV 8800N
AIPTEK,DV Cam2
Aiptek International Inc.,DV M2
Aiptek International Inc.,DZO-V59
AIPTEK,HDDV 8300
AIPTEK,VS-3
Aiptek International Inc.,iDV
Acer Inc.,C01
ACER,CE-5330
Acer,CE6430
acer,CI-8330
Acer Corporation,CI6330
Acer,CL-6300
acer,CP-8531
Acer,CP-8660
acer,CR8530
acer,CS-6531
ACER,CS5531
acer,CS6530
acer,CU-6530
ACER,DX650
ACER,ACER E101
Acer,Acer Liquid
Acer,Liquid Metal
Acer,M900
ACER,ACER S200
Acer,Acer Stream
ACER,X960
AGFA,ARCUS II
AGFAPHOTO,DC-1033m
AGFAPHOTO,DC-2030m
AGFAPHOTO,DC-302
AGFAPHOTO,DC-500
AgfaPhoto,DC-600uw
AGFAPHOTO,DC-733s
AGFAPHOTO,DC-833m
AgfaPhoto,OPTIMA 100
AgfaPhoto,OPTIMA 102
AgfaPhoto,OPTIMA 103
AgfaPhoto,OPTIMA 104
AgfaPhoto,OPTIMA 105
AGFAPHOTO,OPTIMA 1338mT
AgfaPhoto,OPTIMA 1438m
AGFAPHOTO,OPTIMA 2338mT
AGFAPHOTO,OPTIMA 8328m
Agfa Gevaert,SR841
Agfa,SnapScan e25
Agfa,ePhoto CL30
AgfaPhoto,Compact 100
AgfaPhoto,Compact 102
AgfaPhoto,sensor 505-D
Allied Vision Technologies,GT3300C (02-2623A)
Allied Vision Technologies,GT3300C (02-2623B)
Allied Vision Technologies,GT4907C (02-2637B)
Amazon,Fire HD
Amazon,Fire HD7
Apple,QT-200
Apple,iPad
Apple,iPad (5th generation)
Apple,iPad (6th generation)
Apple,iPad 2
Apple,iPad Air
Apple,iPad Air (3rd generation)
Apple,iPad Air (4th generation)
Apple,iPad Air (5th generation)
Apple,iPad Air 2
Apple,iPad Pro
Apple,iPad Pro (12.9-inch) (3rd generation)
Apple,iPad Pro (12.9-inch) (4th generation)
Apple,iPad Pro (12.9-inch) (5th generation)
Apple,iPad Pro 10.5
Apple,iPad mini
Apple,iPad mini (5th generation)
Apple,iPad mini 2
Apple,iPad mini 3
Apple,iPad mini 4
Apple,iPhone
Apple,iPhone 11
Apple,iPhone 11 Pro
Apple,iPhone 11 Pro Max
Apple,iPhone 12 Pro
Apple,iPhone 12 Pro Max
Apple,iPhone 13
Apple,iPhone 13 Pro
Apple,iPhone 13 Pro Max
Apple,iPhone 14
Apple,iPhone 14 Pro
Apple,iPhone 15
Apple,iPhone 15 Plus
Apple,iPhone 15 Pro
Apple,iPhone 15 Pro Max
Apple,iPhone 16 Pro
Apple,iPhone 3G
Apple,iPhone 3GS
Apple,iPhone 4
Apple,iPhone 4S
Apple,iPhone 5
Apple,iPhone 5S
Apple,iPhone 5c
Apple,iPhone 5s
Apple,iPhone 6
Apple,iPhone 6 Plus
Apple,iPhone 6s
Apple,iPhone 6s Plus
Apple,iPhone 7
Apple,iPhone 7 Plus
Apple,iPhone 8
Apple,iPhone 8 Plus
Apple,iPhone SE
Apple,iPhone SE (1st generation)
Apple,iPhone SE (2nd generation)
Apple,iPhone X
Apple,iPhone XR
Apple,iPhone XS
Apple,iPhone XS Max
Apple,"iPhone6,1 - 7.1.2"
Apple,"iPhone6,1 - 8.0"
Apple,"iPhone6,1 - 8.0.2"
Apple,"iPhone6,1 - 8.1.2"
Apple,"iPhone6,1 - 8.3"
Apple,"iPhone6,1 - 9.0.2"
Apple,iPod touch
Arashi Vision,Insta360 EVO
"Asahi Optical Co., Ltd.",PENTAX EI-100
"Asahi Optical Co.,Ltd",PENTAX DB100
"Asahi Optical Co.,Ltd",PENTAX Optio 330
"Asahi Optical Co.,Ltd",PENTAX Optio 430
"Asahi Optical Co.,Ltd.",PENTAX Optio 230
"Asahi Optical Co.,Ltd.",PENTAX Optio330RS
"Asahi Optical Co.,Ltd.",PENTAX Optio430RS
asus,ASUS_Z01KDA
BBK Imaging Co.,DP1050
BBK Imaging Co.,DP1250
BBK Imaging Co.,DP710
BBK Imaging Co.,DP810
BBK Imaging Co.,DP830
BENQ,3310
